worker,time,bytes_sent,bytes_received
12,3,334880872,292992368
12,4,456908904,422284288
12,5,528474216,528290376
12,6,592830568,605381232
12,7,658628712,680499256
12,8,730849384,756293728
12,9,822075496,833316912
12,10,920248424,901329472
12,11,999284840,954313240
12,12,1077928040,1029839472
12,13,1154343016,1120666720
12,14,1226039400,1206268136
12,15,1296162920,1294299296
12,16,1383587944,1368807880
12,17,1458561128,1448051128
12,18,1533665384,1525369592
12,19,1601691752,1604772120
12,20,1689903208,1668954472
12,21,1769726056,1747829488
12,22,1845485672,1829804760
12,23,1919148136,1908397416
12,24,1998577768,1978853976
12,25,2065948776,2062208464
12,26,2148393064,2142424768
12,27,2230444136,2218529496
12,28,2303582312,2260561048
12,29,2388123752,2331617304
12,30,2467553384,2387802600
2,1,219612384,205977040
2,2,316953016,301921016
2,3,393236920,369368616
2,4,448632616,453829832
2,5,514820216,531218976
2,6,579303128,605289968
2,7,668429080,689501384
2,8,775116424,758143888
2,9,855068088,796716768
2,10,922960376,913235880
2,11,1000161784,986107928
2,12,1072251384,1066639760
2,13,1159938552,1132370928
2,14,1232421368,1223355808
2,15,1309098488,1296155368
2,16,1384202744,1359700848
2,17,1459962360,1456525344
2,18,1537950200,1533799592
2,19,1615938040,1584741680
2,20,1689207288,1641160104
2,21,1766408696,1736225480
2,22,1808876024,1839738384
2,23,1876509176,1917995568
2,24,1926971896,1992167920
2,25,2058437112,2072139512
2,26,2152808952,2140297720
2,27,2230141432,2214776304
2,28,2303410680,2298685576
2,29,2379432440,2375097480
2,30,2448114168,2447768392
14,1,153767328,165714912
14,2,272643056,296780048
14,3,385233904,376585120
14,4,457323504,447022336
14,5,542127088,520797936
14,6,609760240,599886696
14,7,682504360,678075800
14,8,771240104,759276744
14,9,852897960,812681880
14,10,929050792,885364240
14,11,1004679336,981651896
14,12,1053962408,1061614800
14,13,1110323368,1140262656
14,14,1234448552,1216948504
14,15,1312305320,1272373600
14,16,1394487464,1344342840
14,17,1470116008,1414663512
14,18,1548365992,1484134888
14,19,1624649896,1586624592
14,20,1700147368,1680015792
14,21,1774071976,1748443928
14,22,1850355880,1830643992
14,23,1926770856,1908840336
14,24,1991389352,1988177936
14,25,2081304744,2058441672
14,26,2159161512,2140287632
14,27,2230333608,2217225360
14,28,2275815592,2294416520
14,29,2391158952,2354753520
14,30,2466525352,2396290848
1,1,242806784,221833136
1,2,317124608,306160384
1,3,374140928,385552776
1,4,473755648,450806896
1,5,553447424,520594448
1,6,623439872,615926016
1,7,686223360,689529704
1,8,749268992,766860280
1,9,833417216,844753928
1,10,934735872,906603400
1,11,1012461568,990090888
1,12,1088352256,1069437200
1,13,1161228288,1149881744
1,14,1243148288,1211863696
1,15,1320349696,1284359248
1,16,1397682176,1372627744
1,17,1462693888,1461628312
1,18,1536618496,1537283776
1,19,1628762112,1618657032
1,20,1671360512,1690698296
1,21,1732440064,1769017720
1,22,1857744896,1831969520
